,Start,Velocity,Note,Duration
752,445.333333,64,58.4,0.666667
753,446.0,64,53.0,0.666667
754,446.666667,64,55.4,0.666666
755,447.333333,64,59.9,0.666667
756,448.0,64,51.2,0.666667
757,448.666667,64,50.0,0.666666
758,449.333333,64,57.0,0.666667
759,450.0,64,52.6,0.666667
760,450.666667,64,56.0,0.333333
761,451.0,64,59.8,0.333333
762,451.333333,64,55.4,0.666667
763,452.0,64,55.7,1.0
764,453.0,64,50.3,0.333333
765,453.333333,64,45.0,0.666667
766,454.0,64,41.0,1.0
767,455.0,64,45.4,0.333333
768,455.333333,64,40.6,0.666667
769,456.0,64,39.2,0.666667
770,456.666667,64,45.0,0.666666
771,457.333333,64,46.0,0.666667
772,458.0,64,43.4,0.666667
773,458.666667,64,46.0,0.333333
774,459.0,64,45.4,1.0
775,460.0,64,46.0,0.666667
776,460.666667,64,50.2,0.666666
777,461.333333,64,53.599999999999994,0.666667
778,462.0,64,55.7,0.666667
779,462.666667,64,55.4,0.333333
780,463.0,64,59.6,0.333333
781,463.333333,64,52.599999999999994,0.666667
782,464.0,64,57.8,0.666667
783,464.666667,64,57.0,0.333333
784,465.0,64,55.7,0.333333
785,465.333333,64,50.6,0.666667
786,466.0,64,47.8,0.666667
787,466.666667,64,44.0,0.333333
788,467.0,64,43.0,1.0
789,468.0,64,46.4,0.666667
790,468.666667,64,47.6,0.333333
791,469.0,64,43.1,0.333333
792,469.333333,64,43.4,0.666667
793,470.0,64,43.0,0.666667
794,470.666667,64,38.6,0.333333
795,471.0,64,38.0,0.333333
796,471.333333,64,45.4,0.666667
